Yr/Seas ,Host ,Nationalities ,Leader (s) ,Route(s) ,Result ,Smtrs ,Dead ,Exped ID 
1921 Spr,China,"UK, Canada",C. K. Howard-Bury,"W, N & E sides",Did not Climb,,2,EVER-211-01
1922 Spr,China,"UK, Australia",Charles G. Bruce,N Col-N Face,"Illness, AMS",,7,EVER-221-01
1924 Spr,China,UK,Edward F. Norton,N Col-N Face (Norton to 8570m) / N Col-NE Ridge (Mallory to 8450m+),Accident,,4,EVER-241-01
1933 Spr,China,UK,Hugh Ruttledge,N Col-N Face,Route Difficulty,,,EVER-331-01
1934 Spr,China,UK,Maurice Wilson,N Col,Accident,,1,EVER-341-01
1935 Sum,China,"UK, New Zealand",Eric Shipton,N Col (recon to 7000m) / W side (recon),Bad Conditions,,,EVER-352-01
1936 Spr,China,UK,Hugh Ruttledge,N Col,Bad Weather,,,EVER-361-01
1938 Spr,China,UK,H. W. Tilman,E Rongbuk Glacier-N Col / Main Rongbuk Glacier-N Col-N Face,Bad Conditions,,,EVER-381-01
1947 Spr,China,Canada,Earl Denman,N Col,Bad Weather,,,EVER-471-01
1950 Aut,Nepal,"USA, UK",Charles Houston,Khumbu Glacier (recon),Did not Climb,,,EVER-503-01
1951 Spr,China,Denmark,Klavs Becker-Larsen,N Col,Lack of Supplies,,,EVER-511-01
1951 Aut,Nepal,"UK, New Zealand",Eric Shipton,Khumbu Glacier-Khumbu Icefall (recon),Route Difficulty,,,EVER-513-01
1952 Spr,Nepal,Switzerland,Edouard Wyss-Dunant,S Col-SE Ridge,"Illness, AMS",,,EVER-521-01
1952 Aut,Nepal,Switzerland,Gabriel Chevalley,S Col-SE Ridge,Bad Weather,,1,EVER-523-01
1952 Aut,China,USSR,Pavel Datschnolian,N Col-NE Ridge,Attempt Rumored,,,EVER-523-02
1953 Spr,Nepal,"UK, New Zealand",John Hunt,S Col-SE Ridge,Success,2,,EVER-531-01
1956 Spr,Nepal,Switzerland,Albert Eggler,S Col-SE Ridge,Success,4,,EVER-561-01
1958 Aut,China,"China, USSR","Xu Jing, Yevgeniy Beletski",N side (recon),Did not Climb,,,EVER-583-01
1960 Spr,Nepal,"India, Nepal",Gyan Singh,S Col,Bad Weather,,,EVER-601-01
1960 Spr,China,China,Shi Zhang-Chun,N Col-NE Ridge,Success,3,1,EVER-601-02
1962 Spr,Nepal,India,John Dias,S Col-SE Ridge,Bad Weather,,1,EVER-621-01
1962 Spr,Nepal,"USA, Switzerland",Woodrow Wilson Sayre,N Col-N Face,"Illness, AMS",,,EVER-621-02
1963 Spr,Nepal,"USA, UK",Norman Dyhrenfurth,S Col-SE Ridge / W Cwm-W Ridge-N Face (up); SE Ridge-S Col (down),Success,6,1,EVER-631-01
1964 Spr,China,China,Xu Jing,N Col-NE Ridge (training),Other,,1,EVER-641-01
1965 Spr,Nepal,India,M. S. Kohli,S Col-SE Ridge,Success,9,,EVER-651-01
1965 Spr,China,China,,"N side (attempt reported, not confirmed)",Attempt Rumored,,,EVER-651-02
1966 Spr,China,China,Xu Jing,"N Col (training, recon)",Accident,,1,EVER-661-01
1967 Spr,China,China,,N Col (research),Did not Climb,,,EVER-671-01
1967 Aut,China,China,,N Col (research),Did not Climb,,,EVER-673-01
1968 Spr,China,China,,"N side (attempt reported, not confirmed)",Attempt Rumored,,,EVER-681-01
1969 Spr,Nepal,Japan,Yoshihiro Fujita,SW Face (recon),Bad Weather,,,EVER-691-01
1969 Spr,China,China,,"N side (success reported, not confirmed)",Success (Claimed),,,EVER-691-02
1969 Aut,Nepal,Japan,Hideki Miyashita,SW Face (recon),Did not Climb,,,EVER-693-01
1969 Aut,Nepal,Japan,Yuichiro Miura,S Col (recon),Other,,1,EVER-693-02
1970 Spr,Nepal,Japan,Yuichiro Muira,S Col (skiing),Other,,6,EVER-701-01
1970 Spr,Nepal,Japan,Hiromi Ohtsuka,S Col-SE Ridge / SW Face (to 8050m),Success,4,2,EVER-701-02
1971 Spr,Nepal,"Switzerland, Australia, Austria, France, India, Italy, Japan, Norway, Poland, UK, USA, W Germany","Norman Dyhrenfurth, J. O. M. Roberts",W Cwm-W Ridge (to 7300m) / S Col (to 6900m) / SW Face (to 8380m),Bad Weather,,1,EVER-711-01
1971 Aut,Nepal,Argentina,Hector Cativa Tolosa,S Col-SE Ridge,Bad Weather,,,EVER-713-01
1972 Spr,Nepal,"W Germany, Austria, Italy, Switzerland, UK",Karl M. Herrligkoffer,SW Face,Bad Weather,,,EVER-721-01
1972 Aut,Nepal,"UK, Australia",Chris Bonington,SW Face,Bad Weather,,1,EVER-723-01
1973 Spr,Nepal,Italy,Guido Monzino,S Col-SE Ridge,Success,8,,EVER-731-01
1973 Aut,Nepal,Japan,Michio Yuasa,S Col-SE Ridge / SW Face (to 8380m),Success,2,1,EVER-733-01
1974 Spr,Nepal,Spain,Juan Ignacio Lorente Zugaza,S Col-SE Ridge,Bad Weather,,,EVER-741-01
1974 Spr,China,China,,N Col-NE Ridge (training for 1975),Did not Climb,,,EVER-741-02
1974 Aut,Nepal,France,Gerard Devouassoux,Lho La-W Ridge,Accident,,6,EVER-743-01
1975 Spr,Nepal,Japan,Eiko Hisano,S Col-SE Ridge,Success,2,,EVER-751-01
1975 Spr,China,China,Shi Zhang-Chun,N Col-NE Ridge,Success,9,1,EVER-751-02
1975 Aut,Nepal,"UK, W Germany",Chris Bonington,SW Face-S Smt,Success,4,2,EVER-753-01
1975 Aut,Nepal,W Germany,Unknown soloist,S side (attempt rumored),Attempt Rumored,,,EVER-753-02
1976 Spr,Nepal,"UK, Nepal",Tony Streather,S Col-SE Ridge,Success,2,1,EVER-761-01
1976 Aut,Nepal,"USA, Netherlands",Phillip R. Trimble,S Col-SE Ridge,Success,2,,EVER-763-01
1977 Spr,Nepal,"New Zealand, Canada",Keith Woodford,S Col-SE Ridge,Bad Weather,,,EVER-771-01
1977 Aut,Nepal,S Korea,Kim Young-Do,S Col-SE Ridge,Success,2,,EVER-773-01
1978 Spr,China,"China, Iran",Tian Bao,"N Ridge (recon, training)",Other,,1,EVER-781-01
1978 Spr,Nepal,"Austria, Italy, UK, W Germany",Wolfgang Nairz,S Col-SE Ridge,Success,9,1,EVER-781-02
1978 Aut,Nepal,"W Germany, Poland, Switzerland",Karl M. Herrligkoffer,S Col-SE Ridge,Success,12,,EVER-783-01
1978 Aut,Nepal,"France, Austria, W Germany",Pierre Mazeaud,S Col-SE Ridge,Success,4,,EVER-783-02
1979 Spr,Nepal,Yugoslavia,Tone Skarja,Lho La-W Ridge (up); N Face (Hornbein)-W Ridge (down),Success,5,1,EVER-791-01
1979 Spr,China,"China, Iran",,N side (no attempt),Did not Climb,,,EVER-791-02
1979 Aut,Nepal,"W Germany, New Zealand, Switzerland, USA",Gerhard Schmatz,S Col-SE Ridge,Success,13,2,EVER-793-01
1979 Aut,China,Japan,Atsuo Saito,N Face (recon to 6400m) / N Col (recon to 6800m),Accident,,3,EVER-793-02
1979 Aut,Nepal,"UK, France, USA",Doug Scott,S Col-SE Ridge (to 7400m) / Lho La (to 6000m),Route Difficulty,,,EVER-793-03
1979 Win,Nepal,Poland,Andrzej Zawada,S Col-SE Ridge,Success,2,,EVER-794-01
1980 Spr,Nepal,Spain,Juan Ignacio Lorente Zugaza,S Col-SE Ridge,Success,2,,EVER-801-01
1980 Spr,Nepal,Poland,Andrzej Zawada,S Pillar-SE Ridge,Success,2,,EVER-801-02
1980 Spr,China,Japan,Hyoriki Watanabe,N Col-NE Ridge / N Face (Japanese & Hornbein Couloirs),Success,3,1,EVER-801-03
1980 Spr,Nepal,"Spain, W Germany",Ricardo Cots Trullas,,Did not Climb,,,EVER-801-04
1980 Spr,China,France,Jean-Claude Marmier,N Col-NE Ridge,Other,,,EVER-801-05
1980 Sum,China,"Italy, Canada",Reinhold Messner,N Col-N Ridge-N Face,Success,1,,EVER-802-01
1980 Aut,Nepal,"Italy, Austria, Czechoslovakia, Nepal, Thailand, Yugoslavia",Francesco Santon,S Col-SE Ridge,Bad Weather,,2,EVER-803-01
1980 Win,Nepal,Japan,Naomi Uemura,S Col-SE Ridge,Bad Weather,,1,EVER-804-01
1980 Win,Nepal,UK,Alan Rouse,Lho La-W Ridge,Bad Weather,,,EVER-804-02
1981 Spr,China,France,"Jean-Claude Marmier, Pierre Astorg",N Col-NE Ridge,Bad Weather,,,EVER-811-01
1981 Spr,Nepal,Japan,Shinichi Nakajima,Lho La-W Ridge,"Illness, AMS",,,EVER-811-02
1981 Aut,Nepal,"USA, Canada, India, Italy, UK",John B. West,S Pillar-SE Ridge,Success,5,,EVER-813-01
1981 Aut,Nepal,New Zealand,Russell Brice,W Cwm-W Ridge,Bad Weather,,,EVER-813-02
1981 Aut,China,"USA, Austria, New Zealand",Richard Blum,E Face,Bad Weather,,,EVER-813-03
1982 Spr,Nepal,USSR,Evgeny Tamm,SW Face rib-W Ridge,Success,11,,EVER-821-01
1982 Spr,China,"USA, India",Lou Whittaker,N Face (Great Couloir),Accident,,1,EVER-821-02
1982 Spr,China,UK,Chris Bonington,NE Ridge,Accident,,2,EVER-821-03
1982 Aut,Nepal,Spain,Lluis Belvis Del Rio,Lho La-W Ridge,Accident,,2,EVER-823-01
1982 Aut,Nepal,"Canada, UK, W Germany",William (Bill) March,S Col-SE Ridge,Success,6,4,EVER-823-02
1982 Aut,China,Netherlands,Alexander Verrijn Stuart,N Col-NE Ridge,Bad Weather,,,EVER-823-03
1982 Win,Nepal,"France, Belgium, Italy, Switzerland",Michel Metzger,SW Face (to 6500m) / W Ridge from S (not attempted) / N Col-NE Ridge from Lho La (to 7600m) (illegal),Bad Weather,,,EVER-824-01
1982 Win,Nepal,Japan,Yasuo Kato,S Col-SE Ridge,Success,1,2,EVER-824-02
1983 Spr,China,Chile,Gaston Oyarzun,NE Ridge,Bad Weather,,,EVER-831-01
1983 Spr,Nepal,"USA, Nepal, W Germany",Gerhard Lenser,S Col-SE Ridge,Success,8,,EVER-831-02
1983 Spr,China,USA,Robert Craig,W Ridge direct from N (to 7925m) / W Ridge (Hornbein Couloir) from N (to 8000m),"Illness, AMS",,,EVER-831-03
1983 Aut,China,"Switzerland, Italy",Romolo Nottaris,N Face (Great Couloir),Bad Conditions,,,EVER-833-01
1983 Aut,China,Spain,Conrad Blanch,N Col-NE Ridge,Bad Weather,,,EVER-833-02
1983 Aut,Nepal,"USA, UK",James Sano,Lho La-W Ridge,Bad Weather,,,EVER-833-03
1983 Aut,China,"USA, Canada",James Morrissey,E Face,Success,6,,EVER-833-04
1983 Aut,Nepal,Japan,Haruichi Kawamura,S Pillar-SE Ridge,Success,2,1,EVER-833-05
1983 Aut,Nepal,Japan,Hiroshi Yoshino,S Col-SE Ridge,Success,3,2,EVER-833-06
1983 Aut,China,"France, Switzerland, USA","Yannick Seigneur, Patrick Barthe",W Ridge from N,Bad Weather,,,EVER-833-07
1983 Win,Nepal,Japan,Kazuyuki Takahashi,S Col-SE Ridge,Success,4,,EVER-834-01
1983 Win,China,Japan,Michiko Takahashi,N Face (Hornbein Couloir),Bad Weather,,,EVER-834-02
1984 Spr,China,"USA, UK",Thomas Fitzsimmons,N Col-NE Ridge,Bad Weather,,,EVER-841-01
1984 Spr,Nepal,India,Darshan Kumar Khullar,S Col-SE Ridge,Success,5,2,EVER-841-02
1984 Spr,Nepal,Bulgaria,Avram Iliev Avramov,Lho La-W Ridge / Lho La-W Ridge (up); SE Ridge-S Col (down),Success,5,1,EVER-841-03
1984 Spr,China,UK,"Bronco Lane, Brummie Stokes",N Face (Hornbein Couloir),Accident,,1,EVER-841-04
1984 Spr,China,"UK, USA",Pat Gunson,N Face (left of Great Couloir),"Illness, AMS",,,EVER-841-05
1984 Aut,China,"Australia, UK, USA",Geoffrey Bartram,N Face (Great Couloir),Success,2,,EVER-843-01
1984 Aut,Nepal,"Nepal, USA",Yogendra Thapa,S Col-SE Ridge,Accident,,2,EVER-843-02
1984 Aut,China,USA,Lou Whittaker,N Col-N Face (Great Couloir),Success,1,,EVER-843-03
1984 Aut,Nepal,"New Zealand, Australia",Peter Hillary,W Cwm-W Ridge,Accident,,2,EVER-843-04
1984 Aut,Nepal,Netherlands,Herman Plugge,S Col-SE Ridge,Success (Claimed),,,EVER-843-05
1984 Aut,Nepal,Czechoslovakia,Frantisek Kele,S Pillar-SE Ridge (up); SE Ridge-S Col (down),Success,3,1,EVER-843-06
1984 Win,Nepal,S Korea,Oh In-Hwan,S Col-SE Ridge,Lack of Time,,,EVER-844-01
1984 Win,Nepal,"France, Belgium, Italy",Eric Dossin,Lho La-W Ridge (not to Hornbein Couloir),Bad Weather,,,EVER-844-02
1985 Spr,Nepal,"USA, UK",David Saas,Lho La-W Ridge,Route Difficulty,,,EVER-851-01
1985 Spr,Nepal,"Norway, Sweden, UK, USA",Arne Naess,S Col-SE Ridge,Success,17,,EVER-851-02
1985 Spr,China,"UK, Austria, Switzerland",Malcolm Duff,NE Ridge (UK 1982 Spring rte),"Illness, AMS",,,EVER-851-03
1985 Spr,China,Spain,Mari Abrego Santesteban,N Col-NE Ridge,Accident,,1,EVER-851-04
1985 Sum,China,Spain,Conrad Blanch,N Col-NE Ridge,Success,6,,EVER-852-01
1985 Sum,China,France,Pierre Beghin,N Face (Great Couloir) / N Col,Bad Conditions,,,EVER-852-02
1985 Aut,China,"New Zealand, Australia, UK",Austin Brookes,W Ridge-N Arete-N Face (to 7420m) / N Face (left of Great Couloir) (to 7315m) / N Face-N Ridge (to 7315m),Bad Weather,,,EVER-853-01
1985 Aut,China,Japan,Tsuneo Hasegawa,N Col-NE Ridge / N Face,Accident,,1,EVER-853-02
1985 Aut,Nepal,"India, Nepal","Prem Chand, Jagjit Singh",S Col-SE Ridge (to 8725m) / SW Face (to 7775m),Route Difficulty,,5,EVER-853-03
1985 Aut,Nepal,Japan,Kuniaki Yagihara,S Col-SE Ridge,Success,7,,EVER-853-04
1985 Win,China,Japan,Michiko Takahashi,N Face (Hornbein Couloir),Bad Weather,,,EVER-854-01
1985 Win,Nepal,S Korea,Kim Ki-Heyg,Lho La-W Ridge,Bad Weather,,,EVER-854-02
1985 Win,Nepal,S Korea,Nam Sang-Tae,S Col-SE Ridge,Bad Weather,,,EVER-854-03
1985 Win,Nepal,S Korea,Park Young-Bae,SW Face (Bonington rte),Lack of Supplies,,,EVER-854-04
1986 Spr,China,USA,Joe Murphy,N Face (Great Couloir),Bad Weather,,,EVER-861-01
1986 Spr,China,Canada,Jim Elzinga,W Ridge-N Face (Hornbein Couloir),Success,2,,EVER-861-02
1986 Spr,China,Spain,Jeronimo Lopez,N Col-NE Ridge,Bad Weather,,,EVER-861-03
1986 Spr,Nepal,Japan,Haruyuki Endo,S Col-SE Ridge,Bad Weather,,,EVER-861-04
1986 Spr,Nepal,"Poland, Austria",Tadeusz Karolczak,Lho La-W Ridge (to 7200m) / Geneva Spur-SE Ridge (to 7800m),Lack of Time,,,EVER-861-05
1986 Sum,China,"Canada, USA",Roger Marshall,N Col (to 7000m) / N Face (Japanese Couloir) (to 7710m),Bad Conditions,,,EVER-862-01
1986 Sum,China,"Switzerland, France",Erhard Loretan,N Face (Japanese & Hornbein Couloirs),Success,2,,EVER-862-02
1986 Sum,China,Chile,Claudio Lucero,N Col-NE Ridge,Accident,,1,EVER-862-03
1986 Aut,China,"UK, New Zealand",John (Brummie) Stokes,NE Ridge,Bad Conditions,,,EVER-863-01
1986 Aut,Nepal,"Switzerland, Argentina, Denmark, France, Netherlands, UK, W Germany",Fredy Graf,S Col-SE Ridge,Lack of Time,,2,EVER-863-02
1986 Aut,China,"USA, Canada, UK",Andrew Harvard,N Col-NE Ridge,Bad Weather,,1,EVER-863-03
1986 Aut,China,USA,Steve McKinney,W Ridge from N (7170m) / N Face,Bad Weather,,,EVER-863-04
1986 Aut,Nepal,France,Eric Escoffier,S Col-SE Ridge,Bad Weather,,,EVER-863-05
1986 Win,Nepal,S Korea,Oh In-Hwan,S Col-SE Ridge,Bad Weather,,,EVER-864-01
1986 Win,Nepal,S Korea,Park Young-Bae,SW Face (Bonington rte),Accident,,1,EVER-864-02
1987 Spr,China,Sweden,Ebbe Whalund,N Col-N Face (Great Couloir)-W Ridge,Bad Weather,,,EVER-871-01
1987 Spr,China,USA,Jack Allsup,N Face (Great Couloir)-W Ridge,Route Difficulty,,,EVER-871-02
1987 Spr,Nepal,Czechoslovakia,Ivan Galfy,SW Face (Bonington 1972 rte) (to 8250m) / SW Face (Bonington 1975 rte) (to 7900m) / S Pillar-S Col (to 7900m),Bad Weather,,,EVER-871-03
1987 Spr,Nepal,"Spain, Italy",Juan Jose San Sebastian,S Pillar (Polish route to C1),Bad Weather,,,EVER-871-04
1987 Spr,China,Spain,Mari Abrego Santesteban,N Col-N Face (Great Couloir),Bad Conditions,,,EVER-871-05
1987 Spr,China,"Canada, USA",Roger Marshall,N Face (Japanese & Hornbein Couloirs),"Illness, AMS",,1,EVER-871-06
1987 Sum,China,"Spain, France",Antonio Ramos Villar,N Face (Hornbein Couloir),Bad Conditions,,,EVER-872-01
1987 Sum,China,W Germany/Iran,Mischa Saleki,N Col,Other,,,EVER-872-02
1987 Aut,China,Japan,Takashi Kawakami,W Ridge from N,Bad Weather,,1,EVER-873-01
1987 Aut,China,USA,Scott Fischer,N Face (Great Couloir),Bad Weather,,,EVER-873-02
1987 Aut,China,"USA, Canada",Steve Van Meter,N Col-NE Ridge,Bad Weather,,,EVER-873-03
1987 Aut,Nepal,"New Zealand, Australia",Peter Hillary,S Pillar (USA 1981 rte),Bad Weather,,,EVER-873-04
1987 Aut,Nepal,"Austria, France, Italy, USA, W Germany",Hanns Schell,S Col-SE Ridge,Bad Weather,,,EVER-873-05
1987 Aut,China,"UK, Austria, India, USA","Doug Scott, Rick Allen",NE Ridge,Bad Weather,,1,EVER-873-06
1987 Aut,Nepal,USA,"Peter Athans, Karen Fellerhoff",S Col-SE Ridge,Bad Weather,,,EVER-873-07
1987 Win,China,Japan,Tsuneo Hasegawa,NE Ridge-N Face,Bad Conditions,,,EVER-874-01
1987 Win,Nepal,S Korea,Hahm Tak-Young,S Col-SE Ridge,Success,2,,EVER-874-02
1988 Spr,China,"China, Japan, Nepal","Shi Zhang-Chun, Toshio Imanishi, Kumar Khadga Bikram Shah","N Col-NE Ridge (up), SE Ridge-S Col (down) / N Col-NE Ridge / S Col-SE Ridge (up), NE Ridge-N Col (down) / S Col-SE Ridge",Success,14,1,EVER-881-01
1988 Spr,China,UK,Douglas Keelan,W Ridge from N,Bad Weather,,,EVER-881-02
1988 Spr,China,"USA, Canada, UK",Robert Anderson,Eastern most buttress of E Face,Success,1,,EVER-881-03
1988 Spr,Nepal,"Australia, New Zealand",Austin Brookes,S Col-SE Ridge,Success,3,,EVER-881-04
1988 Sum,China,"UK, New Zealand, USA",Brummie Strokes,NE Ridge,Bad Conditions,,,EVER-882-01
1988 Aut,Nepal,"Spain, France",Lluis Belvis Del Rio,Lho La-W Ridge (to 7800m) / S Col-SE Ridge,Success,5,1,EVER-883-01
1988 Aut,China,"France, Czechoslovakia, Italy, USA",Benoit Chamoux,N Face (Japanese & Hornbein Couloirs),Bad Weather,,1,EVER-883-02
1988 Aut,Nepal,"USA, UK",James Frush,S Col-SE Ridge,Success,7,,EVER-883-03
1988 Aut,Nepal,S Korea,Choi Chang-Min,S Pillar-SE Ridge,Success,7,,EVER-883-04
1988 Aut,China,USA,Courtney Skinner,N Col-NE Ridge,Bad Weather,,,EVER-883-05
1988 Aut,Nepal,"France, Switzerland",Francois Poissonnier,S Col-SE Ridge,Success,8,,EVER-883-06
1988 Aut,Nepal,France,Marc Batard,S Col-SE Ridge,Success,1,,EVER-883-07
1988 Aut,Nepal,Czechoslovakia,"Ivan Fiala, Jaroslav Orsula",SW Face (up); SE Ridge-S Col (down),Success,1,4,EVER-883-08
1988 Aut,Nepal,New Zealand,Rob Hall,S Pillar-SE Ridge / S Col-SE Ridge,Success,1,,EVER-883-09
1988 Aut,Nepal,France,Serge Koenig,S Col-SE Ridge,Success,2,2,EVER-883-10
1988 Aut,China,"Canada, USA",Barry Blanchard,Face between N and NE Ridges (to 8000m) / N Col-N Face (Great Couloir) (to 8400m),"Illness, AMS",,,EVER-883-11
1988 Aut,China,USA,Joe Dinnen,E Face,Bad Conditions,,,EVER-883-12
1988 Win,Nepal,"Belgium, Netherlands, Poland",Herman Detienne,S Col-SE Ridge,Accident,,1,EVER-884-01
1988 Win,Nepal,S Korea,Park Young-Bae,SW Face (Bonington rte),Bad Weather,,,EVER-884-02
1988 Win,China,Japan,Tsuneo Hasegawa,Face between N and NE Ridges,Bad Weather,,,EVER-884-03
1989 Spr,Nepal,"USA, Mexico",Walt McConnell,S Col-SE Ridge,Success,3,1,EVER-891-01
1989 Spr,Nepal,"New Zealand, Nepal",Rob Hall,S Pillar (to 7000m) / S Col-SE Ridge (to 8200m),"Illness, AMS",,,EVER-891-02
1989 Spr,Nepal,"Poland, Canada, Mexico, UK, USA",Eugeniusz Chrobak,Khumbutse-W Ridge-N Face (Hornbein Couloir),Success,2,5,EVER-891-03
1989 Spr,Nepal,"USA, Australia, Belgium, New Zealand, Sweden, UK","Karen Fellerhoff, Peter Athans",S Col-SE Ridge,Success,4,,EVER-891-04
1989 Spr,Nepal,Yugoslavia,Jovan Poposki,S Col-SE Ridge,Success,5,1,EVER-891-05
1989 Spr,Nepal,"France, Belgium, USA",Karl Huyberechts,S Col-SE Ridge,Bad Weather,,,EVER-891-06
1989 Spr,Nepal,France,Marc Batard,SW Face,Bad Weather,,,EVER-891-07
1989 Spr,Nepal,Austria,Josef Hassler,S Col-SE Ridge,Bad Weather,,,EVER-891-08
1989 Sum,China,Italy,Oreste Forno,N Face,Bad Conditions,,,EVER-892-01
1989 Sum,China,Spain,Javier Escartin,N Col-NE Ridge,Bad Conditions,,,EVER-892-02
1989 Sum,China,Spain,Santiago Arribas Perez,N Col-NE Ridge,Bad Conditions,,,EVER-892-03
1989 Sum,China,"Greece, Bulgaria",Stratos Paraskevaidis,N Col-NE Ridge,Bad Weather,,,EVER-892-04
1989 Aut,China,"Chile, USA",Juan Andres Maramisio,W Ridge from N via Hornbein Couloir,Bad Weather,,,EVER-893-01
1989 Aut,China,"USA, UK",Gary Speer,NE Ridge (to 7030m) / N Col-NE Ridge (to 8000m),Bad Weather,,,EVER-893-02
1989 Aut,China,Yugoslavia,Darko Berljak,N Face (Great Couloir),Bad Conditions,,,EVER-893-03
1989 Aut,China,"France, Belgium, W Germany",Claude Jaccoux,N Col-NE Ridge,Bad Weather,,,EVER-893-04
1989 Aut,China,"Switzerland, Italy, W Germany",Norbert Joos,N Col-N Face (Messner Couloir),Bad Conditions,,,EVER-893-05
1989 Aut,China,USA,Keith Brown,N Col-N Face (Great Couloir),Bad Weather,,,EVER-893-06
1989 Aut,China,"USA, Australia, Mexico",Michael Dunn,N Col-NE Ridge,Bad Weather,,,EVER-893-07
1989 Aut,Nepal,Japan,Ken Kanazawa,S Col-SE Ridge,Success,5,,EVER-893-08
1989 Aut,Nepal,Mexico,Carlos Carsolio Carrea,S Col-SE Ridge,Success,1,,EVER-893-09
1989 Aut,China,Italy,Lorenzo Mazzoleni,N Face (Japanese Couloir),Bad Weather,,,EVER-893-10
1989 Aut,China,"France, Switzerland",Eric Escoffier,N Col-N Ridge-N Face,Bad Weather,,,EVER-893-11
1989 Aut,Nepal,S Korea,Kim In-Tae,S Pillar-SE Ridge,Success,1,,EVER-893-12
1989 Aut,Nepal,"France, Italy",Jean-Franck Charlet,S Pillar-SE Ridge,Lack of Supplies,,,EVER-893-13
1989 Aut,Nepal,S Korea,Lee Suk-Woo,Lho La-W Ridge from S,Success,3,,EVER-893-14
1989 Aut,China,Japan,Yoshio Ogata,N Face (Japanese & Hornbein Couloirs),Bad Conditions,,,EVER-893-15
1989 Win,Nepal,S Korea,Kim Ha-Kyung,S Col-SE Ridge,Bad Weather,,1,EVER-894-01
1990 Spr,China,W Germany/Iran,Mischa Saleki,W Ridge from N,Route Difficulty,,,EVER-901-01
1990 Spr,China,"USA, Austria, Canada, Spain",Todd Burleson,W Ridge from N,"Illness, AMS",,,EVER-901-02
1990 Spr,China,"USA, China, USSR","Jim Whittaker, Vladimir Shataev, Lobsang Dawa",N Col-NE Ridge,Success,20,,EVER-901-03
1990 Spr,Nepal,Nepal,Chetra Bahadur Gurung,S Col-SE Ridge,Success,4,,EVER-901-04
1990 Spr,Nepal,Switzerland,Beda Fuster,Lho La-W Ridge (to 7450m) / S Col-SE Ridge (to 8200m),"Illness, AMS",,,EVER-901-05
1990 Spr,Nepal,Australia,Timothy Macartney-Snape,Lho La-W Ridge (to 7400m) / S Col-SE Ridge,Success,1,,EVER-901-06
1990 Spr,Nepal,USA,Glenn Porzak,S Col-SE Ridge,Success,9,,EVER-901-07
1990 Spr,Nepal,"New Zealand, Belgium, Canada, Sweden, USA",Rob Hall,S Col-SE Ridge,Success,7,,EVER-901-08
1990 Spr,Nepal,Belgium,Karl Huyberechts,S Col-SE Ridge,Lack of Supplies,,,EVER-901-09
1990 Spr,China,"New Zealand, Australia, UK",Mike Perry,N Face (direct) / N Face-N Col-N Ridge,Route Difficulty,,,EVER-901-10
1990 Aut,China,"USA, Canada",Mark Hesse,N Face (Japanese Couloir),Bad Conditions,,,EVER-903-01
1990 Aut,Nepal,Spain,Jose Luis Zuloaga,SW Face,Bad Weather,,,EVER-903-02
1990 Aut,Nepal,"S Korea, Japan","Nobuo Kuwahara, Roh Jong-Baek",S Col-SE Ridge,Success,5,1,EVER-903-03
1990 Aut,China,Italy,Giuseppe Pozzoli,N Face (Japanese Couloir),Bad Conditions,,,EVER-903-04
1990 Aut,Nepal,"France, Netherlands, Switzerland, USA",Laurence De La Ferriere,S Col-SE Ridge,Success,8,,EVER-903-05
1990 Aut,China,Spain,Cesar Perez de Tudela,N Col-NE Ridge,Accident,,3,EVER-903-06
1990 Aut,Nepal,"USA, Canada, USSR",Hooman Aprin,S Pillar (to 7700m) / S Col-SE Ridge,Success,7,,EVER-903-07
1990 Aut,Nepal,"France, UK",Pierre Dutrievoz,S Col-SE Ridge,Bad Weather,,,EVER-903-08
1990 Aut,Nepal,"France, Belgium",Marc Batard,S Col-SE Ridge,Success,7,,EVER-903-09
1990 Aut,Nepal,"Yugoslavia, Italy",Tomaz Jamnik,W Cwm-W Ridge (to 7500m) / S Col-SE Ridge,Success,4,,EVER-903-10
1990 Aut,Nepal,France,Annie Beghin,S Col-SE Ridge,Bad Weather,,,EVER-903-11
1990 Aut,Nepal,S Korea,Park Young-Bae,SW Face (Bonington rte),Bad Weather,,,EVER-903-12
1991 Spr,Nepal,USA,Peter Athans,S Col-SE Ridge,Success,1,,EVER-911-01
1991 Spr,Nepal,USA,"Robert Link, Edmund Viesturs",S Col-SE Ridge,Success,1,,EVER-911-02
1991 Spr,Nepal,Nepal,Lobsang Tashi Sherpa,S Col-SE Ridge,Success,3,,EVER-911-03
1991 Spr,China,"USA, Australia, New Zealand",Eric Simonson,N Col-NE Ridge / NE Ridge,Success,10,,EVER-911-04
1991 Spr,China,Sweden,Jack Berg,N Face (Japanese & Hornbein Couloirs),Success,3,,EVER-911-05
1991 Spr,Nepal,"USA, Australia, Canada",Rick Wilcox,S Col-SE Ridge,Success,4,,EVER-911-06
1991 Spr,Nepal,Australia,Michael Groom,W Cwm-W Ridge (to 7400m) / S Col-SE Ridge (to 7900m),Bad Weather,,,EVER-911-07
1991 Spr,Nepal,S Korea,Lee Kang-Oh,SW Face (Bonington rte),Bad Conditions,,,EVER-911-08
1991 Spr,China,"USA, New Zealand",Robert Anderson,A couloir just W of N Col-N Ridge,Bad Conditions,,,EVER-911-09
