Yr/Seas ,Host ,Nationalities ,Leader (s) ,Route(s) ,Result ,Smtrs ,Dead ,Exped ID 
2010 Spr,China,China,Wangchen Sonam,N Col-NE Ridge,Success,20,,EVER-101-03
2010 Spr,Nepal,USA,Jim Williams,S Col-SE Ridge,Route Difficulty,,,EVER-101-04
2010 Spr,Nepal,"USA, Canada",Wally Berg,S Col-SE Ridge,Success,6,,EVER-101-05
2010 Spr,Nepal,Spain,Albert Bosch,S Col-SE Ridge,Success,2,,EVER-101-06
2010 Spr,Nepal,USA,Dave Morton,S Col-SE Ridge,Success,4,,EVER-101-07
2010 Spr,Nepal,S Korea,Sung Gi-Jin,S Col-SE Ridge,Success,6,,EVER-101-08
2010 Spr,China,"USA, Japan",Julio Bird,N Col-NE Ridge,Success,3,,EVER-101-09
2010 Spr,Nepal,Switzerland,Dario Schwoerer,S Col-SE Ridge,Success,2,,EVER-101-10
2010 Spr,Nepal,China,Huang Nu-Bo,S Col-SE Ridge,Success,3,,EVER-101-11
2010 Spr,Nepal,Colombia,Juan Pablo Ruiz,S Col-SE Ridge,Success,3,,EVER-101-12
2010 Spr,China,Malaysia,Muhammad Mugharabbin Mokhtarrudin,N Col-NE Ridge,Route Difficulty,,,EVER-101-13
2010 Spr,China,USA,Paul Romero,N Col-NE Ridge,Success,6,,EVER-101-14
2010 Spr,Nepal,Ireland,Domhnall O'Douchartaigh,S Col-SE Ridge,Success,2,,EVER-101-15
2010 Spr,Nepal,Nepal,Namgyal Sherpa,S Col-SE Ridge,Success,6,,EVER-101-16
2010 Spr,China,"Nepal, China, UK, USA",Anil Bhattarai,N Col-NE Ridge,Success,4,,EVER-101-17
2010 Spr,Nepal,Mexico,Aldo Valencia,S Col-SE Ridge,Success,2,,EVER-101-18
2010 Spr,China,"Serbia, Montenegro",Dragan Celikovic,N Col-NE Ridge,Success,8,,EVER-101-19
2010 Spr,China,Bangladesh,Mohammad Abdul Mohit,N Col-NE Ridge,Bad Weather,,,EVER-101-20
2010 Spr,China,Taiwan,Lin Yong-Fu,N Col-NE Ridge,Success,3,,EVER-101-21
2010 Spr,Nepal,Nepal,Prem Dorchi Lama,S Col-SE Ridge,Success,1,,EVER-101-22
2010 Spr,China,France,Bousnaid Bouadjar,N Col-NE Ridge,Success,2,,EVER-101-23
2010 Spr,Nepal,France,Luc Boisnard,S Col-SE Ridge,Success,4,,EVER-101-24
2010 Spr,China,Spain,Pedro Jose Garcia,N Col-NE Ridge,Success,2,,EVER-101-25
2010 Spr,Nepal,"USA, Argentina, Canada, Guatemala, Italy",Guillermo (Willie) Benegas,S Col-SE Ridge,Success,14,,EVER-101-26
2010 Spr,Nepal,Portugal,Angelo Sousa,S Col-SE Ridge,Success,4,,EVER-101-27
2010 Spr,Nepal,S Korea,Yoon Wang-Yong,S Col-SE Ridge,Success,5,,EVER-101-28
2010 Spr,China,Japan,Hiroshi Ogasawara,N Col-NE Ridge,Success,4,1,EVER-101-29
2010 Spr,Nepal,Austria,Robert Miller,S Col-SE Ridge,Success,3,,EVER-101-30
2010 Spr,China,Italy,Silvio Mondinelli,N Col-NE Ridge,Success,4,,EVER-101-31
2010 Spr,China,Germany,Andreas Sippel,N Col-NE Ridge,Success,3,,EVER-101-32
2010 Spr,Nepal,Canada,John Furneaux,S Col-SE Ridge,Success,4,,EVER-101-33
2010 Spr,China,Sweden,Peter Adolfsson,N Col-NE Ridge,Success,2,,EVER-101-34
2010 Spr,Nepal,Finland,Mikko Vermas,S Col-SE Ridge,Success,2,,EVER-101-35
2010 Spr,Nepal,Mexico,Ignacio Ananya,S Col-SE Ridge,"Illness, AMS",3,,EVER-101-36
2010 Spr,Nepal,India,Basanta Singha Roy,S Col-SE Ridge,Success,4,,EVER-101-37
2010 Spr,China,Australia,Ian Hibbert,N Col-NE Ridge,Route Difficulty,,,EVER-101-38
2010 Spr,China,Sweden,Pierre Nasman,N Col-NE Ridge,"Illness, AMS",,,EVER-101-39
2010 Spr,Nepal,S Korea,Heo Young-Ho,S Col-SE Ridge,Success,8,,EVER-101-40
2010 Spr,China,"Australia, Canada, UK",Duncan Chessell,N Col-NE Ridge,Success,17,,EVER-101-41
2010 Spr,China,"Austria, Germany",Jochen Hemmleb,N Col-NE Ridge,Bad Conditions,,,EVER-101-42
2010 Spr,China,Italy,Luigi Rampini,N Col-NE Ridge,Lack of Supplies,,,EVER-101-43
2010 Spr,China,Poland,Zbigniew Bak,N Col-NE Ridge,Success,3,,EVER-101-44
2010 Spr,China,Canada,Ron Hoglin,N Col-NE Ridge,"Illness, AMS",,,EVER-101-45
