date,time,hour_of_the_day_,part_of_body,side,number_of_times,type,location,datetime
Feb 12,15:14 ,15,Hand,Right,1,,School,2026-02-12 15:14:00
Feb 12,15:32 ,15,Hand,Left,1,,School,2026-02-12 15:32:00
Feb 12,15:33 ,15,Hand,Right,1,,School,2026-02-12 15:33:00
Feb 12,15:45 ,15,Hand,Right,1,,School,2026-02-12 15:45:00
Feb 12,15:55 ,15,Hand,Right,1,,School,2026-02-12 15:55:00
Feb 12,15:56 ,15,Hand,Right,1,,School,2026-02-12 15:56:00
Feb 12,16:01 ,16,Hand,Right,1,,School,2026-02-12 16:01:00
Feb 12,16:02 ,16,Hand,Left,2,,School,2026-02-12 16:02:00
Feb 12,16:28 ,16,Hand,Right,1,,Commute,2026-02-12 16:28:00
Feb 12,18:39 ,18,Hand,Left,1,,Gym,2026-02-12 18:39:00
Feb 12,18:52 ,18,Hand,Left,1,,Commute,2026-02-12 18:52:00
Feb 12,18:55 ,18,Hand,Left,1,,Commute,2026-02-12 18:55:00
Feb 12,18:56 ,18,Hand,Right,1,,Commute,2026-02-12 18:56:00
Feb 12,19:01 ,19,Hand,Right,1,,Commute,2026-02-12 19:01:00
Feb 12,19:24 ,19,Sleeve,Right,1,,Home,2026-02-12 19:24:00
Feb 12,19:28 ,19,Hand,Right,2,,Home,2026-02-12 19:28:00
Feb 12,19:48 ,19,Hand,Right,1,,Home,2026-02-12 19:48:00
Feb 12,19:54 ,19,Hand,Right,1,,Home,2026-02-12 19:54:00
Feb 12,19:55 ,19,Sleeve,Right,2,,Home,2026-02-12 19:55:00
Feb 12,19:56 ,19,Sleeve,Left,1,,Home,2026-02-12 19:56:00
Feb 12,19:56 ,19,Hand,Left,1,,Home,2026-02-12 19:56:00
Feb 12,20:01 ,20,Hand,Right,2,,Home,2026-02-12 20:01:00
Feb 12,20:12 ,20,Sleeve,Left,1,,Home,2026-02-12 20:12:00
Feb 12,20:14 ,20,Hand,Right,1,,Home,2026-02-12 20:14:00
Feb 12,20:18 ,20,Hand,Right,1,,Home,2026-02-12 20:18:00
Feb 12,20:24 ,20,Hand,Right,1,,Home,2026-02-12 20:24:00
Feb 12,20:26 ,20,Hand,Right,2,,Home,2026-02-12 20:26:00
Feb 12,20:36 ,20,Hand,Right,1,,Home,2026-02-12 20:36:00
Feb 12,21:11 ,21,Hand,Right,1,,Home,2026-02-12 21:11:00
Feb 12,21:48 ,21,Hand,Right,1,,Home,2026-02-12 21:48:00
Feb 12,21:52 ,21,Hand,Left,1,,Home,2026-02-12 21:52:00
Feb 12,21:59 ,21,Shoulder,Right,1,,Home,2026-02-12 21:59:00
Feb 12,22:28 ,22,Hand,Right,1,,Home,2026-02-12 22:28:00
Feb 12,23:05 ,23,Hand,Right,2,,Home,2026-02-12 23:05:00
Feb 13,7:58 ,7,Sleeve,Left,1,,Home,2026-02-13 07:58:00
Feb 13,8:05 ,8,Sleeve,Left,1,,Home,2026-02-13 08:05:00
Feb 13,8:17 ,8,Hand,Left,1,,Home,2026-02-13 08:17:00
Feb 13,8:25 ,8,Hand,Right,1,,Home,2026-02-13 08:25:00
Feb 13,8:40 ,8,Hand,Right,1,,Home,2026-02-13 08:40:00
Feb 13,8:46 ,8,Hand,Left,1,,Home,2026-02-13 08:46:00
Feb 13,8:55 ,8,Hand,Left,2,,Home,2026-02-13 08:55:00
Feb 13,9:08 ,9,Sleeve,Right,1,,Home,2026-02-13 09:08:00
Feb 13,9:23 ,9,Sleeve,Right,1,,Home,2026-02-13 09:23:00
Feb 13,9:43 ,9,Hand,Right,1,,Home,2026-02-13 09:43:00
Feb 13,10:11 ,10,Hand,Right,1,,Home,2026-02-13 10:11:00
Feb 13,10:15 ,10,Hand,Left,1,,Home,2026-02-13 10:15:00
Feb 13,10:26 ,10,Hand,Right,1,,Home,2026-02-13 10:26:00
Feb 13,10:41 ,10,Hand,Right,1,,Home,2026-02-13 10:41:00
Feb 13,10:51 ,10,Hand,Right,1,,Home,2026-02-13 10:51:00
Feb 13,11:41 ,11,Hand,Left,1,,Meal,2026-02-13 11:41:00
Feb 13,11:51 ,11,Hand,Left,1,,Meal,2026-02-13 11:51:00
Feb 13,11:57 ,11,Sleeve,Left,1,,Meal,2026-02-13 11:57:00
Feb 13,12:28 ,12,Hand,Right,1,,Meal,2026-02-13 12:28:00
Feb 13,12:29 ,12,Hand,Right,2,,Meal,2026-02-13 12:29:00
Feb 13,13:02 ,13,Sleeve,Right,1,,Meal,2026-02-13 13:02:00
Feb 13,13:22 ,13,Hand,Right,1,,School,2026-02-13 13:22:00
Feb 13,13:24 ,13,Sleeve,Right,1,,School,2026-02-13 13:24:00
Feb 13,13:42 ,13,Sleeve,Right,1,,School,2026-02-13 13:42:00
Feb 13,13:42 ,13,Sleeve,Left,1,,School,2026-02-13 13:42:00
Feb 13,14:20 ,14,Hand,Right,1,,School,2026-02-13 14:20:00
Feb 13,14:49 ,14,Hand,Right,1,,School,2026-02-13 14:49:00
Feb 13,15:19 ,15,Glasses,,1,,School,2026-02-13 15:19:00
Feb 13,15:22 ,15,Hand,Left,1,,School,2026-02-13 15:22:00
Feb 13,15:43 ,15,Whole Ass Arm,Right,1,,School,2026-02-13 15:43:00
Feb 13,15:48 ,15,Hand,Right,1,,School,2026-02-13 15:48:00
Feb 13,16:18 ,16,Sleeve,Left,1,,School,2026-02-13 16:18:00
Feb 13,16:28 ,16,Hand,Right,1,,School,2026-02-13 16:28:00
Feb 13,16:55 ,16,Sleeve,Right,1,,School,2026-02-13 16:55:00
Feb 13,17:13 ,17,Hand,Right,1,,School,2026-02-13 17:13:00
Feb 13,17:23 ,17,Hand,Right,1,,School,2026-02-13 17:23:00
Feb 13,18:32 ,18,Sleeve,Right,1,,School,2026-02-13 18:32:00
Feb 13,18:54 ,18,Sleeve,Right,1,,School,2026-02-13 18:54:00
Feb 13,19:52 ,19,Hand,Left,1,,Home,2026-02-13 19:52:00
Feb 13,20:02 ,20,Hand,Right,1,,Home,2026-02-13 20:02:00
