date,city,name,country,admin1,latitude,longitude,timezone,weather_code,temp_mean_c,apparent_temp_mean_c,rain_sum_mm,precipitation_hours,showers_sum_mm,snowfall_sum_cm,daylight_duration_s,sunshine_duration_s,wind_gusts_max_kmh,wind_speed_mean_kmh,wind_gusts_mean_kmh,dewpoint_mean_c,cloud_cover_mean_pct
2000-01-01,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,3.0,-3.5458336,-7.3209496,0.0,0.0,0.0,0.0,33513.02,30686.36,15.84,4.1409826,11.025,-9.183333,73.041664
2000-01-02,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,73.0,-4.227083,-8.301547,0.0,9.0,0.0,3.15,33557.258,23529.309,31.319998,7.379457,21.51,-7.275,88.333336
2000-01-03,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,73.0,-6.202084,-10.50074,0.0,7.0,0.0,1.5400001,33605.61,32400.0,34.92,7.1728945,21.104998,-10.122916,49.833332
2000-01-04,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,73.0,-4.685417,-8.907656,0.0,6.0,0.0,3.0100002,33657.95,24188.07,42.12,8.288797,26.985,-8.299998,67.166664
2000-01-05,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,73.0,-2.9333327,-6.26374,0.0,5.0,0.0,1.2600001,33714.15,32400.0,39.239998,3.865288,19.935001,-4.9375,36.458332
2000-01-06,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,2.0,-9.86875,-14.470073,0.0,0.0,0.0,0.0,33774.1,32400.0,24.84,8.061009,18.06,-12.604165,34.833332
2000-01-07,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,3.0,-7.089583,-11.061604,0.0,0.0,0.0,0.0,33837.68,20163.002,25.56,4.4302974,14.145,-11.591666,78.041664
2000-01-08,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,73.0,-5.472916,-9.963775,0.0,11.0,0.0,1.6099999,33904.76,23946.334,44.639996,9.532558,25.859999,-8.572915,53.125
2000-01-09,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,71.0,-1.2833334,-5.1811743,0.4,6.0,0.0,0.97999996,33975.242,1757.105,31.319998,8.290062,24.779999,-4.2833333,83.333336
2000-01-10,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,73.0,1.7645835,-1.7403678,3.6000001,17.0,0.0,1.9600003,34048.977,3950.0337,35.28,8.414633,28.74,-1.1208335,90.791664
2000-01-11,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,51.0,5.0395837,0.9593416,0.5,3.0,0.0,0.0,34125.863,26606.098,50.399998,11.61715,41.489994,-1.8520832,86.916664
2000-01-12,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,3.0,1.59375,-1.7119099,0.0,0.0,0.0,0.0,34205.77,32607.66,46.8,5.4521933,21.029997,-2.8166666,41.291668
2000-01-13,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,3.0,-1.4979167,-5.6476364,0.0,0.0,0.0,0.0,34288.586,32400.0,37.44,8.930168,26.579998,-6.0291667,74.916664
2000-01-14,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,3.0,2.4229167,-1.7533889,0.0,0.0,0.0,0.0,34374.19,21242.527,38.88,10.37405,30.164999,-4.1270833,98.791664
2000-01-15,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,3.0,2.9791667,-1.1132056,0.0,0.0,0.0,0.0,34462.47,28800.0,35.64,10.259387,29.309996,-3.6875002,87.416664
2000-01-16,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,3.0,6.9270844,2.968895,0.0,0.0,0.0,0.0,34553.297,15783.425,51.12,12.470831,41.414997,-0.12916666,94.541664
2000-01-17,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,53.0,5.7312503,2.7436237,2.8000002,7.0,0.0,0.0,34646.562,25200.0,34.56,8.648666,23.625,2.1458333,78.125
2000-01-18,Salt Lake City,Salt Lake City,United States,Utah,40.76078,-111.89105,America/Denver,55.0,5.420833,2.75315,11.000001,20.0,0.0,0.0,34742.156,5388.7686,43.56,8.36063,29.819998,3.8166664,88.291664
